Marka,Ortalama Puanı,Yorum Sayısı,Satış Fiyatı (TL)
Samsung,3.8,447,6758.17
Amazfit,4.5,832,3063.09
Samsung,4.1,1030,7326.58
Samsung,4.2,203,8300.49
Fossil,4.1,710,4605.83
Apple,3.8,776,9273.62
Haylou,3.7,230,1747.2
TicWatch,3.7,0,3223.57
Apple,4.0,810,8971.72
Xiaomi,3.8,352,2783.79
Huawei,4.1,1304,5367.33
TicWatch,4.4,665,3294.52
Lenovo,4.2,481,2178.45
Lenovo,4.4,1201,1438.66
Garmin,4.3,1888,7310.38
Realme,4.4,65,2574.36
Huawei,4.7,0,4079.97
Samsung,4.3,0,7037.93
Apple,3.9,617,8119.74
Apple,4.4,706,8500.99
Garmin,4.0,368,8537.4
Amazfit,3.6,1109,3003.69
Haylou,3.7,1016,1872.09
Samsung,3.9,0,5868.55
Haylou,3.8,711,2080.04
Garmin,4.4,374,7624.63
Realme,3.7,570,2081.49
Garmin,3.6,1413,7655.3
Lenovo,4.3,0,1546.3
Xiaomi,4.1,548,2676.78
Fitbit,3.8,657,3744.02
Amazfit,4.1,69,2469.78
Lenovo,3.6,852,1505.41
Haylou,3.8,67,1749.38
Fitbit,4.3,442,3895.38
TicWatch,4.6,186,2658.08
TicWatch,4.4,43,3037.73
Fitbit,4.4,429,3909.61
Apple,4.4,0,9137.97
Garmin,4.5,689,9191.93
Samsung,4.1,377,4866.69
Haylou,4.4,0,1770.26
Fitbit,4.0,0,3094.94
Huawei,4.3,129,4650.85
Lenovo,4.6,213,1380.78
Haylou,4.4,1048,1822.35
Garmin,4.3,203,7555.66
Fossil,4.2,122,4887.06
Garmin,4.1,1129,6081.8
Samsung,4.2,1382,5060.79
TicWatch,4.3,112,3187.59
Garmin,4.3,767,6160.85
Fossil,4.0,444,4087.9
Haylou,4.2,0,1886.66
Samsung,3.5,697,6082.65
Samsung,3.9,1122,5531.43
Garmin,4.5,528,7451.81
Realme,4.3,493,2310.16
Realme,4.5,290,2148.9
Fossil,4.5,725,4881.62
Lenovo,4.7,1053,1831.81
Samsung,3.8,677,6192.92
Fitbit,4.1,644,3283.23
Amazfit,3.8,877,2439.02
TicWatch,3.6,1254,3887.42
Apple,3.9,0,9090.62
Fossil,4.1,104,3772.61
Fossil,4.6,608,3925.91
Amazfit,4.1,429,2952.29
Fossil,4.5,515,3953.97
Haylou,4.2,92,1480.74
Fitbit,3.7,313,4528.81
Huawei,4.1,0,4492.37
Apple,3.7,1942,9405.56
Fitbit,3.4,979,3549.4
TicWatch,4.9,1541,2875.53
Haylou,4.4,388,2255.33
Lenovo,4.1,648,2499.86
Fossil,3.7,456,3899.57
Fitbit,3.4,0,3869.48
Xiaomi,3.9,0,2144.78
Amazfit,3.9,859,2473.34
Fitbit,3.5,309,4328.53
TicWatch,4.4,787,4092.32
Realme,5.0,839,2315.11
Haylou,3.7,697,1357.25
Xiaomi,4.6,0,2702.95
Amazfit,4.2,0,2210.25
Fossil,4.6,238,3610.37
Garmin,4.8,120,9120.6
Lenovo,4.4,412,2326.46
Huawei,4.7,0,4693.46
Garmin,4.3,596,7763.28
Amazfit,3.3,506,2763.99
Realme,4.1,164,2119.88
Apple,4.0,1721,7761.14
Xiaomi,3.8,905,3461.29
Lenovo,4.5,579,2105.12
Amazfit,3.6,387,1798.36
Huawei,4.3,1478,5950.86
Samsung,4.5,1155,6737.38
Fossil,4.1,1286,4576.93
Huawei,4.7,468,4223.24
Lenovo,4.8,1234,1461.25
Haylou,4.0,625,1540.63
Huawei,4.3,274,5054.96
Xiaomi,4.4,673,3289.66
Amazfit,3.5,275,2446.65
Fitbit,3.6,1243,3582.82
Xiaomi,4.1,600,2296.41
Huawei,4.3,694,4019.34
Fitbit,3.3,564,3651.91
Fossil,4.0,495,4685.52
TicWatch,4.1,1397,3129.5
Haylou,4.3,933,1513.47
Realme,4.2,654,2142.98
Realme,4.1,191,2129.68
Realme,4.3,815,2474.86
Garmin,4.1,603,7759.03
Fitbit,4.0,1466,3628.87
Fitbit,5.0,280,3581.89
Realme,3.9,0,2529.86
Amazfit,4.3,147,1958.18
Garmin,5.0,183,6123.64
Apple,4.4,1918,9179.93
Samsung,4.0,221,5140.35
Huawei,3.7,2,5220.03
Fossil,4.2,352,3893.66
Amazfit,3.8,295,2525.75
Fitbit,3.8,496,3124.07
Apple,4.8,304,10478.62
Xiaomi,4.1,1212,3107.32
Huawei,3.8,257,5773.83
Samsung,4.4,345,5283.82
Lenovo,4.0,867,1833.05
Amazfit,3.6,1415,2228.94
Lenovo,4.3,647,2514.1
Realme,4.3,0,2252.32
Samsung,3.9,510,6603.35
Samsung,4.5,0,5977.11
Haylou,4.2,342,1288.96
Amazfit,4.2,903,2479.75
Realme,4.6,1057,1813.8
Xiaomi,4.3,1202,3077.6
Samsung,4.3,0,6918.42
Lenovo,3.9,71,1832.9
Haylou,3.7,1205,2203.58
Fitbit,3.4,202,3898.41
Realme,4.3,1015,1873.46
Realme,4.2,0,2563.04
Huawei,4.2,839,5692.69
Haylou,4.7,1794,1854.98
Realme,4.4,804,1737.08
Apple,4.3,315,10282.12
Garmin,4.3,16,7874.78
Lenovo,4.0,1062,1668.9
Realme,3.9,1067,1593.19
Huawei,4.4,1580,5298.43
Samsung,4.4,2000,5921.15
Realme,3.4,0,2292.59
Fossil,4.0,1701,4113.4
Haylou,3.8,0,1873.53
Garmin,4.8,0,6673.59
TicWatch,4.0,0,3636.09
Garmin,3.7,342,5400.47
Xiaomi,4.5,0,3089.46
Apple,4.6,0,9895.81
Amazfit,3.8,1973,3269.94
Apple,4.7,0,7704.41
Apple,4.4,460,10130.07
Haylou,4.7,1350,1930.64
TicWatch,4.2,0,3064.21
Haylou,4.0,0,2202.25
TicWatch,5.0,0,2987.48
Realme,5.0,369,2559.31
Haylou,4.2,1069,2327.24
Huawei,3.7,498,4889.86
Fitbit,4.8,889,4334.49
Haylou,4.3,418,1862.16
Xiaomi,4.0,784,3626.03
TicWatch,3.9,0,3574.41
Lenovo,3.9,822,1740.59
Fossil,4.6,86,4090.28
Amazfit,4.1,1730,2566.91
Realme,3.8,0,2416.38
Amazfit,4.5,328,2713.24
Haylou,4.5,555,1179.67
Lenovo,3.9,341,1786.99
Apple,4.8,531,7704.01
Xiaomi,4.5,148,3603.58
Fitbit,3.8,989,2979.43
Haylou,4.7,1712,1792.95
Huawei,4.1,835,5491.2
Lenovo,3.7,360,1785.43
Garmin,4.2,245,5097.98
Realme,4.3,120,1883.65
Huawei,4.4,1224,4280.07
Samsung,4.1,682,7050.9
Garmin,4.6,0,7871.68
Huawei,4.3,492,4987.01
Haylou,4.4,1589,1574.41
Apple,4.3,248,8306.53
TicWatch,3.8,1912,3065.23
Haylou,4.6,119,1308.06
Xiaomi,3.9,334,3655.15
Xiaomi,4.1,1244,3078.23
Huawei,5.0,547,5581.9
Apple,4.6,399,9981.71
Samsung,4.6,0,6104.43
TicWatch,4.2,1084,3064.52
Apple,3.9,1409,8415.82
Lenovo,4.0,994,2049.17
Realme,4.6,458,2081.67
Garmin,3.7,380,7354.94
Fitbit,3.9,1053,3328.48
TicWatch,4.1,127,2367.66
TicWatch,4.4,0,2886.23
Fossil,4.4,1310,4341.23
Fitbit,4.3,0,4451.75
Garmin,4.5,589,7694.18
Garmin,3.9,471,6100.05
Xiaomi,3.9,417,3197.04
Fitbit,3.4,1219,3483.75
Amazfit,4.2,0,2429.29
Xiaomi,3.8,732,2490.74
Xiaomi,4.2,0,2816.72
Realme,3.8,665,1797.62
Xiaomi,4.2,0,4048.21
Samsung,4.1,599,5556.89
Apple,4.3,531,11102.63
Garmin,4.2,744,6751.3
Apple,4.6,285,7541.4
TicWatch,4.7,1174,3945.26
Fitbit,4.1,0,4323.85
Realme,4.1,875,2319.66
Samsung,4.0,742,6597.28
Realme,4.5,0,2001.22
Fitbit,4.0,1295,1915.84
Apple,3.7,918,6704.23
Apple,4.7,321,9710.84
Haylou,4.6,436,2025.87
Garmin,3.9,632,9230.19
Haylou,4.1,0,1332.3
Amazfit,4.5,1049,2053.63
Huawei,4.7,666,4214.21
Haylou,4.2,244,1797.62
Garmin,4.8,365,7572.3
Samsung,3.3,327,6417.84
TicWatch,4.2,715,2567.56
Samsung,5.0,769,5361.59
Lenovo,4.3,280,2302.87
Xiaomi,4.6,836,3273.75
Fossil,4.4,219,3374.49
TicWatch,3.5,914,3638.86
TicWatch,4.1,653,3205.25
Apple,4.8,0,9959.84
Amazfit,3.3,99,1816.25
Huawei,4.1,0,5347.49
Fossil,4.2,701,4510.78
Realme,4.1,544,2323.83
Apple,4.8,0,9115.23
TicWatch,3.1,997,2983.94
TicWatch,4.5,175,3152.61
Samsung,3.8,647,5615.93
TicWatch,3.7,217,2074.43
Huawei,4.2,0,5384.79
Amazfit,4.2,358,2305.21
Xiaomi,4.2,1263,2553.96
Huawei,4.3,0,5605.26
Huawei,3.4,112,5362.05
TicWatch,4.6,359,3292.56
Apple,4.1,133,10730.84
Lenovo,4.5,510,2066.28
Fossil,3.8,803,3849.4
Xiaomi,4.4,758,3903.42
TicWatch,3.8,859,3564.82
Haylou,4.6,1102,1733.91
Realme,4.0,717,2393.03
Apple,4.8,790,8798.52
Amazfit,4.8,230,2885.43
Samsung,4.3,1721,6200.07
Realme,4.4,786,2299.03
Fossil,3.8,848,3670.79
Fossil,3.8,1724,4723.68
Haylou,4.3,0,1841.05
Samsung,4.2,557,6222.47
Fitbit,4.3,1062,4076.9
Realme,4.1,1271,2203.13
Garmin,4.8,0,6159.43
Haylou,4.4,0,2242.78
TicWatch,4.1,177,3212.58
Amazfit,4.0,0,2980.88
Lenovo,4.6,681,1869.83
Huawei,3.5,817,4555.15
Haylou,4.4,0,1714.68
Xiaomi,4.4,462,3417.63
TicWatch,4.2,420,3288.95
Fitbit,4.2,512,3578.04
Fitbit,4.7,794,3210.79
Garmin,4.1,1054,7257.81
